captured_at_utc,elapsed_seconds,planned_speed_kph,requested_speed_kph,measured_speed_kph,planned_incline_percent,requested_incline_percent,measured_incline_percent,heart_rate_bpm,distance_km,estimated_kcal,telemetry_age_ms
2026-09-01T06:30:00.0000000+00:00,0,5,5,5,1,1,1,110,0,0,180
2026-09-01T06:30:01.0000000+00:00,1,5,5,5,1,1,1,112,0.001388889,0.080556,190
2026-09-01T06:30:02.0000000+00:00,2,5,5,5.1,1,1,1,114,0.002805556,0.162299,200
2026-09-01T06:30:03.0000000+00:00,3,5,5,5,1,1,1,116,0.004194444,0.242855,180
2026-09-01T06:30:04.0000000+00:00,4,5,5,5,1,1,1,118,0.005583333,0.32341,190
2026-09-01T06:30:05.0000000+00:00,5,8,8,7.2,2,2,1.5,121,0.007583333,0.474259,200
2026-09-01T06:30:06.0000000+00:00,6,8,8,8,2,2,2,127,0.009805556,0.671016,180
2026-09-01T06:30:07.0000000+00:00,7,8,8.5,8.5,2,2,2,,0.012166667,0.878748,190
2026-09-01T06:30:08.0000000+00:00,8,8,8.5,8.5,2,2,2,138,0.014527778,1.086481,200
2026-09-01T06:30:13.0000000+00:00,9,7,7,7,1,1,1,141,0.016472222,1.222872,180
2026-09-01T06:30:14.0000000+00:00,10,6,6,6,0,0,0,136,0.018138889,1.304434,190
2026-09-01T06:30:15.0000000+00:00,11,8,8,8,2,3,3,144,0.020361111,1.508441,200
2026-09-01T06:30:16.0000000+00:00,12,8,8,8,2,3,3,152,0.022583333,1.712448,180
2026-09-01T06:30:17.0000000+00:00,13,8,8,8,2,3,3,156,0.024805556,1.916455,190
2026-09-01T06:30:18.0000000+00:00,14,7,7,7,1,1,1,149,0.02675,2.052846,200
